T (us), IAW, IBW, ICW, VAY, VBY, VCY
0.00, -1.301306, -.2084364, 1.5097421, 92.394104, -12.28723, -80.10687
250.00, -1.218224, -.3352223, 1.5534463, 88.974266, -4.426985, -84.54728
500.00, -1.127317, -.4599067, 1.5872233, 85.114044, 3.4423931, -88.55644
750.00, -1.03, -.58143, 1.61143, 80.663101, 11.293944, -91.95705
1000.00, -.9260473, -.6991603, 1.6252077, 75.741524, 19.078222, -94.81974
1250.00, -.8169398, -.8125111, 1.6294509, 70.366508, 26.748669, -97.11518
1500.00, -.7033877, -.9208115, 1.6241992, 64.549324, 34.25164, -98.80096
1750.00, -.5858988, -1.023315, 1.6092134, 58.337208, 41.542206, -99.87941
2000.00, -.4651338, -1.119423, 1.5845565, 51.757576, 48.580185, -100.3378
2250.00, -.3416896, -1.208639, 1.5503287, 44.857052, 55.320961, -100.178
2500.00, -.2163439, -1.290464, 1.5068077, 37.681499, 61.721176, -99.40267
2750.00, -.0898464, -1.36441, 1.4542564, 30.268875, 67.740768, -98.00964
3000.00, .03735094, -1.430045, 1.3926944, 22.657366, 73.343666, -96.00103
3250.00, .1648455, -1.486996, 1.3221501, 14.900013, 78.495064, -93.39508
3500.00, .29189751, -1.534873, 1.2429754, 7.0545635, 83.160187, -90.21474
3750.00, .41756481, -1.573267, 1.1557022, -.8306535, 87.309219, -86.47856
4000.00, .54091823, -1.601856, 1.0609381, -8.70738, 90.918793, -82.21141
4250.00, .66102207, -1.620462, .95943975, -16.52535, 93.968338, -77.44299
4500.00, .77695447, -1.628987, .85203266, -24.23615, 96.438431, -72.20229
4750.00, .88786364, -1.627365, .73950106, -31.79354, 98.313004, -66.51946
5000.00, .99299163, -1.615581, .62258899, -39.15342, 99.581253, -60.42783
5250.00, 1.0916573, -1.593718, .50206095, -46.27136, 100.2367, -53.96534
5500.00, 1.183206, -1.561958, .37875178, -53.10287, 100.27573, -47.17286
5750.00, 1.2670491, -1.520549, .25350028, -59.60791, 99.697823, -40.08992
6000.00, 1.3427825, -1.469801, .12701835, -65.7509, 98.506546, -32.75565
6250.00, 1.4101907, -1.410075, -.1159E-3, -71.49598, 96.709167, -25.21319
6500.00, 1.4691093, -1.341765, -.1273442, -76.8057, 94.315826, -17.51012
6750.00, 1.5193168, -1.265274, -.2540429, -81.6442, 91.340012, -9.695815
7000.00, 1.5605336, -1.181024, -.3795093, -85.97954, 87.799683, -1.820152
7250.00, 1.5924675, -1.089494, -.5029737, -89.78365, 83.717117, 6.066535
7500.00, 1.6148459, -.9912227, -.6236231, -93.03176, 79.117722, 13.914042
7750.00, 1.6274283, -.886793, -.7406353, -95.70278, 74.029587, 21.673189
8000.00, 1.6300198, -.7768133, -.8532065, -97.77992, 68.48394, 29.29598
8250.00, 1.6224781, -.6619286, -.9605495, -99.25042, 62.515442, 36.734978
8500.00, 1.6047122, -.5428354, -1.061877, -100.1052, 56.161667, 43.943535
8750.00, 1.5767007, -.4202841, -1.156417, -100.3399, 49.462414, 50.877476
9000.00, 1.5385491, -.2950682, -1.243481, -99.95553, 42.459381, 57.496151
9250.00, 1.4905373, -.1680097, -1.322528, -98.95757, 35.195957, 63.761612
9500.00, 1.4331038, -.0399414, -1.393162, -97.35402, 27.716784, 69.63723
9750.00, 1.3667783, .0883137, -1.455092, -95.15485, 20.067432, 75.087425
10000.00, 1.2921202, .21595447, -1.508075, -92.37276, 12.294461, 80.0783
10250.00, 1.2096952, .34219965, -1.551895, -89.02385, 4.4454517, 84.5784
10500.00, 1.1200765, .46628252, -1.586359, -85.12769, -3.431369, 88.559067
10750.00, 1.023846, .58745486, -1.611301, -80.70703, -11.2877, 91.994736
11000.00, .92158628, .70499772, -1.626584, -75.78771, -19.07547, 94.863182
11250.00, .81387031, .81822634, -1.632097, -70.39864, -26.74684, 97.145477
11500.00, .70125341, .92648411, -1.627738, -64.57181, -34.25432, 98.826126
11750.00, .58428061, 1.0291327, -1.613413, -58.34248, -41.55114, 99.893623
12000.00, .46351719, 1.1255475, -1.589065, -51.74953, -48.59174, 100.34127
12250.00, .33959365, 1.2151207, -1.554714, -44.83523, -55.33219, 100.16742
12500.00, .2132351, 1.2972704, -1.510505, -37.64434, -61.73059, 99.374931
12750.00, .08525607, 1.3714544, -1.45671, -30.22296, -67.74738, 97.970337
13000.00, -.0434704, 1.4371816, -1.393711, -22.6179, -73.34557, 95.963478
13250.00, -.1720455, 1.4940201, -1.321975, -14.87655, -78.49087, 93.367416
13500.00, -.2995653, 1.5415996, -1.242034, -7.046794, -83.15175, 90.198547
13750.00, -.425134, 1.5796143, -1.15448, .82329541, -87.29977, 86.476479
14000.00, -.5478807, 1.6078286, -1.059948, 8.6858988, -90.90977, 82.223869
14250.00, -.6669826, 1.6260837, -.9591012, 16.493773, -93.95993, 77.466164
14500.00, -.7816902, 1.6342973, -.852607, 24.200407, -96.43179, 72.231384
14750.00, -.8913435, 1.6324563, -.7411128, 31.75996, -98.31017, 66.550209
15000.00, -.9953689, 1.6206074, -.6252385, 39.127045, -99.5833, 60.456253
15250.00, -1.093257, 1.5988476, -.5055909, 46.256607, -100.243, 53.986362
15500.00, -1.184529, 1.5673202, -.3827917, 53.104179, -100.2847, 47.180527
15750.00, -1.268713, 1.5262142, -.2575012, 59.62645, -99.70788, 40.081429
16000.00, -1.345338, 1.4757673, -.1304295, 65.78196, -98.51577, 32.73381
16250.00, -1.413934, 1.4162675, -.0023334, 71.531525, -96.71554, 25.184011
16500.00, -1.474045, 1.3480546, .12599002, 76.838593, -94.31819, 17.479603
16750.00, -1.525229, 1.2715199, .2537092, 81.669456, -91.33852, 9.6690702
17000.00, -1.567074, 1.1871088, .37996495, 85.993706, -87.79509, 1.8013797
17250.00, -1.599208, 1.0953244, .50388348, 89.784599, -83.71006, -6.07454
17500.00, -1.621328, .99672943, .62459892, 93.019356, -79.10906, -13.9103
17750.00, -1.633227, .89194423, .74128258, 95.679214, -74.02084, -21.65837
18000.00, -1.634809, .78163892, .85316968, 97.749275, -68.47703, -29.27225
18250.00, -1.626096, .66652298, .95957345, 99.218155, -62.51187, -36.70629
18500.00, -1.607218, .54733419, 1.0598842, 100.07776, -56.16204, -43.91571
18750.00, -1.578387, .42482936, 1.1535578, 100.3232, -49.46651, -50.8567
19000.00, -1.53988, .29977733, 1.2401022, 99.952888, -42.46628, -57.48661
19250.00, -1.49202, .17295295, 1.3190671, 98.968597, -35.2042, -63.7644
19500.00, -1.435168, .04513169, 1.3900362, 97.375595, -27.72475, -69.65084
19750.00, -1.369705, -.0829149, 1.45262, 95.182602, -20.07377, -75.10883
20000.00, -1.296026, -.2104223, 1.5064486, 92.401932, -12.29827, -80.10367
20250.00, -1.214535, -.3366325, 1.5511671, 89.049606, -4.446152, -84.60345
20500.00, -1.125647, -.460793, 1.5864401, 85.145569, 3.4339991, -88.57957
20750.00, -1.02981, -.5821555, 1.6119659, 80.713737, 11.293315, -92.00705
21000.00, -.9275208, -.6999768, 1.6274976, 75.781876, 19.083004, -94.86488
21250.00, -.8193405, -.8135242, 1.6328647, 70.381287, 26.754728, -97.13602
21500.00, -.7059062, -.9220817, 1.6279879, 64.546402, 34.260967, -98.80737
21750.00, -.587926, -1.024959, 1.6128846, 58.31427, 41.555309, -99.86958
22000.00, -.4661709, -1.121497, 1.5876682, 51.724232, 48.592773, -100.317
22250.00, -.3414609, -1.21108, 1.552541, 44.817539, 55.330059, -100.1476
22500.00, -.2146491, -1.293138, 1.5077868, 37.637032, 61.725822, -99.36285
22750.00, -.0866031, -1.367155, 1.4537584, 30.226812, 67.740913, -97.96773
23000.00, .04181561, -1.432678, 1.3908626, 22.631943, 73.338547, -95.97049
23250.00, .16977234, -1.489315, 1.3195426, 14.898274, 78.484497, -93.38277
23500.00, .29647362, -1.536737, 1.2402632, 7.0723605, 83.147194, -90.21956
23750.00, .42117307, -1.574675, 1.1535022, -.7985724, 87.297935, -86.49937
24000.00, .54316747, -1.602919, 1.0597514, -8.666698, 90.911034, -82.24434
24250.00, .66178632, -1.62131, .95952368, -16.48376, 93.96402, -77.48026
24500.00, .77637947, -1.629744, .85336465, -24.20138, 96.437813, -72.23643
24750.00, .886307, -1.628169, .74186164, -31.77142, 98.31691, -66.54549
25000.00, .990933, -1.616584, .6256513, -39.1464, 99.589493, -60.44309
25250.00, 1.0896236, -1.595047, .50542307, -46.27991, 100.24754, -53.96762
25500.00, 1.1817487, -1.563668, .38191909, -53.12706, 100.2869, -47.15984
25750.00, 1.2666895, -1.52262, .2559306, -59.64489, 99.707397, -40.06251
26000.00, 1.3438505, -1.472139, .12828818, -65.79279, 98.512733, -32.71994
26250.00, 1.4126774, -1.412524, -.1534E-3, -71.53289, 96.71051, -25.17762
26500.00, 1.4726763, -1.344142, -.128534, -76.83024, 94.312111, -17.48187
26750.00, 1.5234305, -1.267423, -.2560079, -81.65295, 91.332565, -9.679612
27000.00, 1.5646117, -1.182853, -.3817587, -85.97222, 87.790413, -1.818189
27250.00, 1.595983, -1.090974, -.5050091, -89.7623, 83.707558, 6.0547395
27500.00, 1.6173956, -.9923711, -.6250244, -93.0005, 79.109154, 13.891351
27750.00, 1.6287804, -.8876695, -.7411109, -95.66727, 74.02343, 21.643841
28000.00, 1.6301374, -.7775257, -.8526118, -97.74621, 68.48156, 29.264648
28250.00, 1.6215235, -.6626227, -.9589008, -99.2242, 62.517475, 36.706718
28500.00, 1.6030405, -.5436645, -1.059376, -100.0915, 56.167717, 43.923794
28750.00, 1.5748254, -.4213727, -1.153453, -100.342, 49.471249, 50.870754
29000.00, 1.5370456, -.2964842, -1.240561, -99.97327, 42.46925, 57.504013
29250.00, 1.4898981, -.1697501, -1.320148, -98.98683, 35.204891, 63.781937
29500.00, 1.4336165, -.0419351, -1.391681, -97.38831, 27.723061, 69.665253
29750.00, 1.3684813, .08618443, -1.454666, -95.18745, 20.070061, 75.117393
30000.00, 1.2948306, .21382302, -1.508654, -92.39809, 12.293291, 80.104797
30250.00, 1.2130703, .34019056, -1.553261, -89.03795, 4.440908, 84.597046
30500.00, 1.1236793, .4644981, -1.588177, -85.12847, -3.438502, 88.566978
30750.00, 1.0272104, .58596438, -1.613175, -80.69453, -11.29625, 91.990791
31000.00, .92428535, .70382363, -1.628109, -75.76416, -19.08387, 94.84803
31250.00, .81558686, .81733286, -1.63292, -70.36824, -26.75341, 97.121651
31500.00, .70184487, .92577988, -1.627625, -64.54024, -34.25772, 98.797958
31750.00, .58382136, 1.0284898, -1.612311, -58.31595, -41.55074, 99.866699
32000.00, .4622941, 1.1248304, -1.587124, -51.73332, -48.58772, 100.32103
32250.00, .33804202, 1.2142156, -1.552258, -44.83226, -55.32543, 100.15769
32500.00, .21183546, 1.2961076, -1.507943, -37.65458, -61.72247, 99.377045
32750.00, .08443116, 1.3700172, -1.454448, -30.24384, -67.73942, 97.983261
33000.00, -.0434274, 1.435504, -1.392077, -22.64526, -73.33913, 95.98439
33250.00, -.171006, 1.4921761, -1.32117, -14.90544, -78.48698, 93.392418
33500.00, -.2975744, 1.539691, -1.242117, -7.072186, -83.15104, 90.223228
33750.00, -.4224005, 1.5777562, -1.155356, .805866, -87.30238, 86.496513
34000.00, -.5447464, 1.6061308, -1.061384, 8.6795855, -90.91522, 82.235634
34250.00, -.6638675, 1.6246289, -.9607614, 16.49976, -93.96717, 77.467415
34500.00, -.7790154, 1.633122, -.8541067, 24.217518, -96.43936, 72.22184
34750.00, -.8894451, 1.6315428, -.7420978, 31.78476, -98.31657, 66.531807
35000.00, -.9944268, 1.6198888, -.625462, 39.154549, -99.58733, 60.432777
35250.00, -1.09326, 1.598224, -.5049643, 46.281448, -100.2439, 53.962498
35500.00, -1.185287, 1.5666804, -.3813936, 53.121807, -100.2826, 47.160759
35750.00, -1.269907, 1.5254569, -.2555496, 59.633945, -99.7031, 40.06916
36000.00, -1.346586, 1.4748172, -.1282306, 65.778328, -98.50926, 32.730934
36250.00, -1.41486, 1.4150859, -.2256E-3, 71.517693, -96.70847, 25.190777
36500.00, -1.474337, 1.3466451, .12769136, 76.817146, -94.31181, 17.494659
36750.00, -1.524691, 1.2699287, .25476235, 81.644333, -91.33398, 9.6896467
37000.00, -1.565662, 1.1854177, .38024476, 85.969551, -87.79322, 1.8236687
37250.00, -1.597044, 1.0936359, .50340807, 89.765938, -83.7112, -6.054742
37500.00, -1.618677, .99514657, .62353063, 93.009659, -79.11291, -13.89675
37750.00, -1.630445, .89054859, .73989671, 95.680168, -74.02658, -21.65359
38000.00, -1.632272, .78047538, .85179687, 97.760414, -68.48351, -29.27691
38250.00, -1.624123, .66559273, .95853072, 99.237061, -62.51785, -36.71922
38500.00, -1.606011, .54659712, 1.059414, 100.10067, -56.16644, -43.93423
38750.00, -1.578002, .4242138, 1.1537882, 100.34583, -49.46857, -50.87725
39000.00, -1.540225, .2991935, 1.2410311, 99.971153, -42.46567, -57.50548
39250.00, -1.492877, .17230844, 1.3205686, 98.979309, -35.20106, -63.77825
39500.00, -1.436232, .04434729, 1.3918847, 97.376907, -27.71966, -69.65725
39750.00, -1.370638, -.0838911, 1.4545287, 95.174362, -20.06768, -75.10669
40000.00, -1.296516, -.2116044, 1.5081202, 92.38575, -12.2923, -80.09344
40250.00, -1.214356, -.3379939, 1.55235, 89.02861, -4.441442, -84.58717
40500.00, -1.124706, -.4622719, 1.5869778, 85.123795, 3.4366045, -88.5604
40750.00, -1.02816, -.5836676, 1.6118275, 80.69529, 11.293398, -91.98869
